antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Phones', 'Paper'})",frozenset({'Binders'}),0.034937113196246754,0.2627270912357756,0.010780594929127571,0.3085714285714286,1.1744941380807645,1.0,0.0016016688029026303,1.0663037936672668,0.15394811443632306,0.03757828810020877,0.062180960117597064,0.17480243161094228
frozenset({'Fasteners'}),frozenset({'Paper'}),0.04292273906967459,0.23777201038131363,0.01177879816330605,0.2744186046511628,1.1541249292171911,1.0,0.0015729722036369673,1.0505065241539586,0.1395317593319333,0.043801039346696366,0.04807825843312586,0.16197840392087948
"frozenset({'Phones', 'Binders'})",frozenset({'Paper'}),0.039728488720303455,0.23777201038131363,0.010780594929127571,0.271356783919598,1.1412478007164286,1.0,0.0013342722966896772,1.0460922064421971,0.128886578886579,0.04041916167664671,0.044061322853134216,0.1583484171487159
"frozenset({'Storage', 'Paper'})",frozenset({'Binders'}),0.035536035136753845,0.2627270912357756,0.010580954282291874,0.297752808988764,1.133315972815136,1.0,0.0012446751367602201,1.0498766220802556,0.12196779447202227,0.03678001387925052,0.04750712705787135,0.16901318260988352
"frozenset({'Storage', 'Binders'})",frozenset({'Paper'}),0.039728488720303455,0.23777201038131363,0.010580954282291874,0.2663316582914573,1.1201135821846429,1.0,0.0011346316498539802,1.0389271913295792,0.11166987016043621,0.039640987284966345,0.037468642321086834,0.15541603905336926
frozenset({'Fasteners'}),frozenset({'Binders'}),0.04292273906967459,0.2627270912357756,0.012377720103813137,0.28837209302325584,1.097610800876511,1.0,0.0011007537201653522,1.0360370940150867,0.09291856756429413,0.042205582028590885,0.034783594355128226,0.16774227751466744
frozenset({'Appliances'}),frozenset({'Binders'}),0.09003793172289878,0.2627270912357756,0.025953284088640446,0.2882483370288248,1.0971397569736956,1.0,0.002297880186197882,1.0358569528120412,0.09729976035373131,0.07941356139279168,0.034615737930512716,0.1935162657788501
"frozenset({'Furnishings', 'Paper'})",frozenset({'Binders'}),0.03533639448991815,0.2627270912357756,0.010181672988620483,0.288135593220339,1.0967106279944363,1.0,0.0008978448495244006,1.035692895644982,0.09141264121542664,0.035367545076282945,0.034462817882663976,0.16344469630621813
"frozenset({'Furnishings', 'Binders'})",frozenset({'Paper'}),0.03952884807346776,0.23777201038131363,0.010181672988620483,0.25757575757575757,1.0832888074701676,1.0,0.0007828193141345384,1.026674434996598,0.08004939660337222,0.03811659192825113,0.02598139593948919,0.15019845813296695
frozenset({'Appliances'}),frozenset({'Paper'}),0.09003793172289878,0.23777201038131363,0.021760830505090836,0.2416851441241685,1.0164575037094543,1.0,0.00035233046876173915,1.0051603020994957,0.017793092898462638,0.07110241356816697,0.005133810088517566,0.16660243772119424
frozenset({'Storage'}),frozenset({'Binders'}),0.1551207825913356,0.2627270912357756,0.039728488720303455,0.2561132561132561,0.9748262157076746,1.0,-0.0010259432801352844,0.9911090832349522,-0.029658639327394896,0.10506863780359028,-0.008970674283428163,0.20366453079219035
frozenset({'Labels'}),frozenset({'Paper'}),0.06907566380515073,0.23777201038131363,0.01597125174685566,0.2312138728323699,0.9724183786879437,1.0,-0.0004530077045187715,0.9914694902558852,-0.029567696654058583,0.05490734385724091,-0.008603905443336583,0.14919215891828402
frozenset({'Chairs'}),frozenset({'Paper'}),0.11499301257736075,0.23777201038131363,0.026552206029147533,0.23090277777777776,0.9711100032652299,1.0,-0.0007899137511752155,0.9910684469985628,-0.032521726002940565,0.0813953488372093,-0.00901204455503173,0.1712868212986286
frozenset({'Storage'}),frozenset({'Paper'}),0.1551207825913356,0.23777201038131363,0.035536035136753845,0.22908622908622908,0.9634701271980869,1.0,-0.0013473451919106955,0.9887331351147234,-0.04294874482436167,0.09944134078212291,-0.011395253668695255,0.189270234610285
frozenset({'Envelopes'}),frozenset({'Paper'}),0.04971052106208824,0.23777201038131363,0.011379516869634657,0.2289156626506024,0.9627527743214672,1.0,-0.0004402536604006975,0.9885144240367337,-0.03911944072586641,0.04121475054229935,-0.011619027182591028,0.1383873023580468
frozenset({'Bookcases'}),frozenset({'Binders'}),0.044719504891195846,0.2627270912357756,0.011179876222798962,0.25,0.9515577507598785,1.0,-0.0005691492187689627,0.9830305450189659,-0.05059523809523808,0.03773584905660377,-0.01726238830219332,0.14627659574468085
frozenset({'Phones'}),frozenset({'Binders'}),0.16250748652425634,0.2627270912357756,0.039728488720303455,0.24447174447174447,0.9305159331755076,1.0,-0.002966630518251412,0.9758376385919979,-0.08186305455777244,0.10305541170378042,-0.024760636864617352,0.19784377497143454
