Customer ID,Recency,Frequency,Monetary,Cluster
AA-10315,185,5,5563.56,1
AA-10375,20,9,1056.39,0
AA-10480,260,4,1790.5120000000002,1
AA-10645,56,6,5086.935,0
AB-10015,416,3,886.156,3
AB-10060,55,8,7755.62,2
AB-10105,42,10,14473.570999999998,2
AB-10150,42,5,966.71,1
AB-10165,26,8,1113.838,0
AB-10255,167,9,914.532,0
AB-10600,51,4,1515.862,1
AC-10420,233,3,925.8,1
AC-10450,12,7,5527.846,0
AC-10615,7,5,2537.686,1
AC-10660,283,5,657.316,1
AD-10180,30,8,6106.88,0
AF-10870,42,7,2052.908,0
AF-10885,416,4,861.565,3
AG-10270,279,5,2582.898,1
AG-10300,119,4,367.548,1
AG-10330,9,5,660.972,1
AG-10390,115,5,200.945,1
AG-10495,79,8,2356.855,0
AG-10525,846,4,1455.038,3
AG-10675,98,7,3489.0396000000005,0
AG-10765,78,4,170.584,1
AG-10900,97,10,4510.797,0
AH-10030,13,7,1744.7,0
AH-10075,35,10,3250.337,0
AH-10120,61,7,1735.514,0
AH-10195,56,4,1587.452,1
AH-10210,7,9,4805.344,0
AH-10465,231,5,2495.3916,1
AH-10585,22,4,738.504,1
AH-10690,411,12,7888.294,2
AI-10855,14,10,4375.786,0
AJ-10780,76,7,4867.344,0
AJ-10795,167,7,4501.391,0
AJ-10945,86,7,1839.24,0
AJ-10960,75,3,629.2479999999999,1
AM-10360,29,5,814.012,1
AM-10705,163,8,5664.022,0
AO-10810,502,1,161.28,3
AP-10720,42,8,1638.554,0
AP-10915,99,10,3323.556,0
AR-10345,112,4,1055.694,1
AR-10405,126,5,2236.128,1
AR-10510,15,5,264.86400000000003,1
AR-10540,7,6,6608.448,2
AR-10570,535,1,88.15,3
AR-10825,59,8,4523.336,0
AS-10045,89,7,3050.692,0
AS-10090,29,9,3255.31,0
AS-10135,42,2,58.82,1
AS-10225,23,5,4260.784,1
AS-10240,193,7,584.6080000000001,1
AS-10285,20,6,3214.236,1
AS-10630,93,7,833.398,1
AT-10435,22,6,1171.814,1
AT-10735,14,10,3831.864,0
AW-10840,21,4,649.376,1
AW-10930,47,7,2852.968,0
AY-10555,15,4,497.014,1
AZ-10750,161,6,1622.0179999999998,1
BB-10990,106,5,744.3399999999999,1
BB-11545,29,9,6765.728,2
BC-11125,203,9,2933.676,0
BD-11320,34,12,5718.521,0
BD-11500,36,6,4411.243,0
BD-11560,279,2,320.54,1
BD-11605,98,7,3288.471,0
BD-11620,70,6,1538.11,1
BD-11635,10,3,582.646,1
BD-11725,94,6,1526.5,1
BD-11770,328,6,658.466,1
BE-11335,120,5,4204.676,1
BE-11410,99,5,2261.438,1
BE-11455,255,6,1727.652,1
BF-10975,92,7,599.798,1
BF-11005,40,4,1333.88,1
BF-11020,75,8,2888.506,0
BF-11080,26,3,272.95,1
BF-11170,17,11,5907.972,0
BF-11215,66,4,1585.162,1
BF-11275,58,3,791.9899999999999,1
BG-11035,29,8,2798.948,0
BG-11695,37,6,1874.172,1
BG-11740,58,6,1006.356,1
BH-11710,24,8,6255.351,0
BK-11260,78,6,659.1379999999999,1
BM-11140,308,4,11789.63,2
BM-11575,101,6,808.162,1
BM-11650,34,11,7294.185,2
BM-11785,219,10,1338.842,0
BN-11470,25,4,265.296,1
BN-11515,10,5,1459.344,1
BO-11350,138,5,2682.728,1
BO-11425,76,2,130.83,1
BP-11050,84,5,983.42,1
BP-11095,18,12,2442.044,0
BP-11155,90,6,1697.861,1
BP-11185,2,9,3675.861,0
BP-11230,40,5,1181.49,1
BP-11290,13,7,2475.157,0
BS-11365,559,5,10501.653,2
BS-11380,29,5,3887.834,1
BS-11590,36,6,2454.928,1
BS-11665,583,3,3288.11,3
BS-11755,2,7,2562.382,0
BS-11800,266,2,949.43,1
BT-11305,337,5,2567.656,1
BT-11395,303,6,2186.6130000000003,1
BT-11440,561,4,603.876,3
BT-11485,660,2,415.196,3
BT-11530,92,5,2684.492,1
BT-11680,21,7,3196.752,0
BV-11245,335,5,1523.273,1
BW-11065,213,3,385.516,1
BW-11110,122,8,4750.358,0
BW-11200,204,6,1738.406,1
CA-11965,97,6,3789.7228,1
CA-12055,402,5,1679.7240000000002,3
CA-12265,57,9,2648.2872,0
CA-12310,14,4,1421.954,1
CA-12775,121,7,3041.566,0
CB-12025,48,10,6076.139,0
CB-12415,27,8,1949.2,0
CB-12535,198,8,4246.4555,0
CC-12100,458,6,1770.945,3
CC-12145,107,7,2471.65,0
CC-12220,21,12,3913.418,0
CC-12370,44,5,12129.072000000002,2
CC-12430,1,10,2870.05,0
CC-12475,40,9,1659.438,0
CC-12550,28,3,113.832,1
CC-12610,35,7,2540.631,0
CC-12670,30,7,2269.7015,0
CC-12685,800,4,2854.115,3
CD-11920,41,5,2033.968,1
CD-11980,55,3,639.766,1
CD-12280,43,2,1205.584,1
CD-12790,400,5,1860.732,3
CG-12040,50,6,904.468,1
CG-12520,339,3,1148.7800000000002,3
CH-12070,692,3,1537.236,3
CJ-11875,366,1,16.52,3
CJ-12010,190,8,11164.974,2
CK-12205,40,13,3154.855,0
CK-12325,121,5,2945.321,1
CK-12595,44,11,2372.75,0
CK-12760,83,9,1582.109,0
CL-11890,107,4,1262.014,1
CL-12565,285,12,10880.546,2
CL-12700,106,5,2353.586,1
CM-11815,132,6,1673.888,1
CM-11935,709,2,565.392,3
CM-12115,9,4,1661.61,1
CM-12160,27,6,2533.314,1
CM-12190,9,6,1475.144,1
CM-12235,386,5,2305.712,3
CM-12385,38,4,8954.019999999999,2
CM-12445,437,3,287.99,3
CM-12655,28,6,6339.5576,0
CM-12715,1036,4,3984.4524,3
CP-12085,83,8,5402.254,0
CP-12340,161,8,5888.275,0
CR-12580,58,4,2148.852,1
CR-12625,471,3,475.9,3
CR-12730,79,4,1600.55,1
CR-12820,86,3,1397.8724,1
CS-11845,92,5,1278.954,1
CS-11860,163,6,537.632,1
CS-11950,26,11,3036.547,0
CS-12130,490,4,884.64,3
CS-12175,233,5,844.4580000000001,1
CS-12250,27,12,2754.216,0
CS-12355,7,11,3202.1620000000003,0
CS-12400,3,9,3651.8585,0
CS-12460,28,2,550.644,1
CS-12490,425,4,1077.2285,3
CS-12505,59,6,5690.054999999999,0
CT-11995,97,8,3241.898,0
CV-12295,255,5,2830.628,1
CV-12805,6,9,2370.3136,0
CW-11905,23,6,1136.592,1
CY-12745,61,8,2900.026,0
Co-12640,550,5,1300.076,3
DA-13450,353,4,156.76,3
DB-12910,22,8,2171.599,0
DB-12970,242,5,2839.2272,1
DB-13060,17,7,4531.646,0
DB-13120,49,7,2973.094,0
DB-13210,10,10,2332.577,0
DB-13270,54,8,4655.897,0
DB-13360,265,5,1081.466,1
DB-13405,188,4,1711.692,1
DB-13555,108,7,3908.8028,0
DB-13615,34,7,1989.05,0
DB-13660,13,7,1155.202,1
DC-12850,38,9,3336.168,0
DC-13285,24,5,1174.618,1
DD-13570,42,6,269.542,1
DE-13255,720,5,2550.874,3
DF-13135,701,3,2390.534,3
DG-13300,33,5,3195.818,1
DH-13075,278,6,4932.872,0
DH-13675,777,4,1043.096,3
DJ-13420,638,4,2012.52,3
DJ-13510,49,8,2501.688,0
DJ-13630,13,3,3356.398,1
DK-12835,22,12,3256.48,0
DK-12895,46,5,4282.176,1
DK-12985,8,5,1687.04,1
DK-13090,43,7,2650.557,0
DK-13150,11,2,797.832,1
DK-13225,11,9,4802.394,0
DK-13375,20,8,3318.486,0
DL-12865,101,8,1503.112,0
DL-12925,58,6,3272.2,1
DL-13315,23,8,1458.258,0
DL-13330,58,4,585.02,1
DL-13495,77,8,3539.322,0
DM-12955,115,7,1322.034,1
DM-13015,58,7,6345.103,0
DM-13345,23,8,4074.472,0
DM-13525,482,3,1376.792,3
DN-13690,218,7,2139.79,0
DO-13435,134,9,1300.0315,0
DO-13645,27,7,1267.316,1
DP-13000,127,9,1050.636,0
DP-13105,7,8,2215.002,0
DP-13165,813,2,1058.616,3
DP-13390,359,9,5480.723999999999,0
DR-12880,4,9,6528.034000000001,0
DR-12940,51,8,8350.868,2
DS-13030,94,4,1762.213,1
DS-13180,24,9,2881.8128,0
DV-13045,20,5,1119.483,1
DV-13465,30,6,3341.587,1
DW-13195,70,6,1080.751,1
DW-13480,218,5,5271.628,1
DW-13540,99,5,344.08,1
DW-13585,243,7,1204.854,1
Dl-13600,120,5,755.602,1
Dp-13240,85,11,7198.761,2
EA-14035,153,13,2846.705,0
EB-13705,49,9,3644.978,0
EB-13750,36,10,3236.314,0
EB-13840,91,5,4358.128,1
EB-13870,101,10,2767.219,0
EB-13930,162,5,944.6,1
EB-13975,1,4,1643.255,1
EB-14110,114,6,3071.126,1
EB-14170,83,6,1186.326,1
EC-14050,54,5,461.914,1
ED-13885,136,8,3484.92,0
EG-13900,23,5,1832.02,1
EH-13765,136,12,10310.88,2
EH-13945,218,8,684.1709999999999,0
EH-13990,406,6,825.9499999999999,3
EH-14005,3,7,1219.53,1
EH-14125,153,10,3082.653,0
EH-14185,106,6,923.884,1
EJ-13720,303,4,2162.174,1
EJ-14155,58,5,2656.691,1
EK-13795,45,4,1303.478,1
EL-13735,78,2,124.28,1
EM-13810,133,5,2567.01,1
EM-13825,56,8,2339.598,0
EM-13960,152,5,933.704,1
EM-14065,48,4,228.99,1
EM-14095,114,4,1041.042,1
EM-14140,49,6,4588.436000000001,0
EM-14200,159,3,366.822,1
EN-13780,288,4,2199.366,1
EP-13915,13,17,5478.0608,0
ER-13855,422,3,1245.788,3
ES-14020,41,5,3510.458,1
ES-14080,29,9,4657.924,0
FA-14230,98,7,2984.054,0
FC-14245,71,7,3418.742,0
FC-14335,185,7,3889.366,0
FG-14260,35,7,1383.144,0
FH-14275,38,10,4256.272,0
FH-14350,213,4,2271.284,1
FH-14365,6,8,6987.196,2
FM-14215,8,10,2456.638,0
FM-14290,37,9,3736.198,0
FM-14380,146,9,2523.266,0
FO-14305,39,10,2678.438,0
FP-14320,24,8,4046.746,0
FW-14395,363,3,79.75,3
GA-14515,150,8,3919.776,0
GA-14725,6,11,1398.382,0
GB-14530,63,11,1568.44,0
GB-14575,14,5,4716.288,1
GD-14590,6,4,1888.07,1
GG-14650,44,9,2224.0,0
GH-14410,76,9,2819.467,0
GH-14425,51,4,4172.8460000000005,1
GH-14485,388,2,1361.244,3
GH-14665,3,2,146.94080000000002,1
GK-14620,113,9,6497.27,2
GM-14440,84,7,3582.82,0
GM-14455,17,6,3078.624,1
GM-14500,107,10,1255.682,0
GM-14680,153,6,3163.628,1
GM-14695,118,3,6049.966,1
GP-14740,766,2,236.53,3
GR-14560,1136,2,1284.38,3
GT-14635,57,3,9351.212,2
GT-14710,37,11,11820.12,2
GT-14755,35,4,226.436,1
GW-14605,29,7,2189.019,0
GZ-14470,8,9,4355.150000000001,0
GZ-14545,158,4,2454.6220000000003,1
HA-14905,70,7,2163.3,0
HA-14920,21,8,2584.158,0
HD-14785,770,3,251.36,3
